"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","13,000.00","13,100.00","13,150.00","12,900.00","1.62M","0.00%"
"07/28/2022","13,000.00","12,750.00","13,150.00","12,700.00","2.89M","3.17%"
"07/27/2022","12,600.00","12,500.00","12,600.00","12,250.00","2.52M","-1.18%"
"07/26/2022","12,750.00","13,100.00","13,150.00","12,750.00","1.61M","-2.67%"
"07/25/2022","13,100.00","13,200.00","13,250.00","12,900.00","1.68M","-0.38%"
"07/22/2022","13,150.00","13,100.00","13,650.00","13,050.00","4.12M","0.77%"
"07/21/2022","13,050.00","13,400.00","13,550.00","13,000.00","2.11M","-2.61%"
"07/20/2022","13,400.00","13,300.00","13,550.00","13,100.00","2.29M","2.29%"
"07/19/2022","13,100.00","13,250.00","13,300.00","12,700.00","2.04M","-1.50%"
"07/18/2022","13,300.00","13,500.00","13,650.00","13,100.00","1.97M","-0.75%"
"07/15/2022","13,400.00","13,000.00","13,600.00","12,950.00","6.50M","3.47%"
"07/14/2022","12,950.00","12,800.00","13,100.00","12,550.00","1.94M","0.78%"
"07/13/2022","12,850.00","13,050.00","13,150.00","12,850.00","1.98M","-1.53%"
"07/12/2022","13,050.00","12,650.00","13,200.00","12,500.00","3.76M","3.57%"
"07/11/2022","12,600.00","12,250.00","12,800.00","12,100.00","2.83M","4.56%"
"07/08/2022","12,050.00","11,800.00","12,200.00","11,750.00","2.52M","3.88%"
"07/07/2022","11,600.00","11,500.00","11,750.00","11,300.00","1.73M","0.87%"
"07/06/2022","11,500.00","12,000.00","12,100.00","11,400.00","1.60M","-5.74%"
"07/05/2022","12,200.00","12,350.00","12,550.00","11,850.00","1.45M","-1.21%"
"07/04/2022","12,350.00","12,300.00","12,500.00","12,150.00","1.45M","1.23%"
"07/01/2022","12,200.00","11,800.00","12,200.00","11,300.00","2.15M","1.67%"
"06/30/2022","12,000.00","12,800.00","12,900.00","12,000.00","3.21M","-6.25%"
"06/29/2022","12,800.00","12,600.00","13,100.00","12,400.00","2.12M","0.00%"
"06/28/2022","12,800.00","12,400.00","13,000.00","12,300.00","2.90M","2.81%"
"06/27/2022","12,450.00","12,200.00","12,500.00","11,900.00","1.96M","2.05%"
"06/24/2022","12,200.00","11,750.00","12,450.00","11,700.00","2.23M","4.72%"
"06/23/2022","11,650.00","11,600.00","11,900.00","11,450.00","1.09M","2.19%"
"06/22/2022","11,400.00","10,900.00","11,400.00","10,800.00","1.79M","6.54%"
"06/21/2022","10,700.00","10,900.00","11,200.00","10,200.00","2.00M","-1.38%"
"06/20/2022","10,850.00","11,800.00","12,200.00","10,850.00","2.73M","-6.87%"
"06/17/2022","11,650.00","12,350.00","12,350.00","11,600.00","4.70M","-6.43%"
"06/16/2022","12,450.00","12,750.00","13,000.00","12,400.00","1.71M","0.00%"
"06/15/2022","12,450.00","13,450.00","13,600.00","12,450.00","2.07M","-6.74%"
"06/14/2022","13,350.00","13,500.00","14,150.00","13,350.00","3.17M","-4.30%"
"06/13/2022","13,950.00","14,300.00","14,700.00","13,950.00","2.33M","-7.00%"
"06/10/2022","15,000.00","15,500.00","15,600.00","14,900.00","1.92M","-4.76%"
