"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","38,300.0","39,000.0","39,100.0","38,300.0","6.79M","-1.67%"
"07/28/2022","38,950.0","37,650.0","39,050.0","37,350.0","14.80M","6.71%"
"07/27/2022","36,500.0","34,950.0","36,500.0","34,500.0","5.39M","3.99%"
"07/26/2022","35,100.0","35,500.0","36,000.0","35,100.0","4.55M","-0.28%"
"07/25/2022","35,200.0","35,000.0","35,850.0","34,350.0","6.77M","-1.40%"
"07/22/2022","35,700.0","36,000.0","36,550.0","35,600.0","6.02M","-1.92%"
"07/21/2022","36,400.0","36,800.0","36,850.0","36,100.0","12.85M","5.73%"
"07/20/2022","34,426.2","34,262.3","35,163.9","33,606.5","12.68M","3.07%"
"07/19/2022","33,401.6","32,090.2","34,303.3","31,557.4","11.15M","2.77%"
"07/18/2022","32,500.0","34,426.2","34,877.0","32,049.2","20.59M","-5.48%"
"07/15/2022","34,385.2","35,614.7","36,352.5","34,385.2","10.61M","-1.06%"
"07/14/2022","34,754.1","33,647.5","35,409.8","33,647.5","9.55M","1.92%"
"07/13/2022","34,098.4","35,245.9","35,614.7","33,483.6","14.78M","-3.03%"
"07/12/2022","35,163.9","33,401.6","35,163.9","33,401.6","9.55M","6.98%"
"07/11/2022","32,868.8","31,803.3","33,319.7","31,147.5","14.41M","4.29%"
"07/08/2022","31,516.4","30,327.9","31,516.4","30,041.0","21.46M","6.95%"
"07/07/2022","29,467.2","29,098.4","29,877.0","28,975.4","5.69M","3.01%"
"07/06/2022","28,606.6","27,909.8","30,286.9","27,909.8","9.48M","0.00%"
"07/05/2022","28,606.6","29,959.0","30,327.9","28,237.7","6.15M","-4.64%"
"07/04/2022","30,000.0","30,573.8","31,147.5","29,836.1","4.89M","0.27%"
"07/01/2022","29,918.0","28,278.7","30,983.6","27,049.2","13.02M","3.11%"
"06/30/2022","29,016.4","31,065.6","31,270.5","28,975.4","13.43M","-6.84%"
"06/29/2022","31,147.5","31,147.5","32,377.0","30,614.7","9.21M","-1.55%"
"06/28/2022","31,639.3","30,000.0","31,639.3","29,508.2","9.39M","6.92%"
"06/27/2022","29,590.2","28,647.5","30,286.9","27,868.8","9.66M","3.00%"
"06/24/2022","28,729.5","29,959.0","31,516.4","28,729.5","14.38M","-2.77%"
"06/23/2022","29,549.2","29,344.3","29,549.2","28,360.6","9.23M","6.97%"
"06/22/2022","27,622.9","26,639.3","27,622.9","25,737.7","11.45M","6.98%"
"06/21/2022","25,819.7","26,229.5","27,704.9","25,819.7","11.62M","-6.94%"
"06/20/2022","27,745.9","29,508.2","30,696.7","27,745.9","11.68M","-6.88%"
"06/17/2022","29,795.1","30,327.9","31,147.5","29,795.1","16.87M","-6.91%"
"06/16/2022","32,008.2","35,245.9","36,024.6","32,008.2","11.47M","-6.91%"
"06/15/2022","34,385.2","36,967.2","38,073.8","34,385.2","14.18M","-6.98%"
"06/14/2022","36,967.2","38,524.6","40,573.8","36,967.2","8.23M","-6.82%"
"06/13/2022","39,672.1","40,901.6","41,721.3","39,672.1","10.09M","-6.92%"
"06/10/2022","42,622.9","43,852.4","44,590.2","42,622.9","6.52M","-4.59%"
"06/09/2022","44,672.1","45,245.9","46,311.5","44,672.1","3.68M","-0.91%"
"06/08/2022","45,082.0","43,852.4","46,393.4","43,688.5","6.28M","3.97%"
"06/07/2022","43,360.6","43,442.6","43,442.6","40,819.7","9.96M","-0.56%"
"06/06/2022","43,606.5","47,459.0","47,459.0","43,606.5","8.03M","-6.99%"
"06/03/2022","46,885.2","45,327.9","47,868.8","44,672.1","7.99M","2.69%"
"06/02/2022","45,655.7","47,950.8","49,016.4","45,491.8","10.74M","-4.79%"
"06/01/2022","47,950.8","49,180.3","49,590.2","47,131.1","11.41M","-3.15%"
"05/31/2022","49,508.2","50,000.0","51,393.4","48,934.4","9.63M","-1.63%"
"05/30/2022","50,327.9","50,000.0","51,393.4","49,426.2","6.10M","1.99%"
"05/27/2022","49,344.3","48,360.6","50,819.7","47,950.8","8.47M","2.03%"
"05/26/2022","48,360.6","49,180.3","50,245.9","48,032.8","6.40M","-1.83%"
"05/25/2022","49,262.3","48,278.7","50,409.8","46,967.2","9.37M","3.62%"
"05/24/2022","47,541.0","43,852.4","47,541.0","42,213.1","10.58M","5.84%"
"05/23/2022","44,918.0","48,524.6","48,688.5","44,918.0","11.79M","-6.96%"
"05/20/2022","48,278.7","45,819.7","48,524.6","45,409.8","10.02M","6.32%"
"05/19/2022","45,409.8","43,770.5","46,065.6","43,770.5","8.36M","0.00%"
"05/18/2022","45,409.8","43,688.5","45,409.8","43,278.7","11.20M","6.95%"
"05/17/2022","42,459.0","39,754.1","42,459.0","39,344.3","7.45M","6.80%"
"05/16/2022","39,754.1","42,622.9","42,786.9","39,754.1","8.70M","-1.32%"
"05/13/2022","40,286.9","43,032.8","43,032.8","40,286.9","15.15M","-6.91%"
"05/12/2022","43,278.7","46,639.3","47,459.0","43,278.7","11.33M","-6.88%"
"05/11/2022","46,475.4","45,082.0","46,475.4","41,393.4","14.20M","6.98%"
"05/10/2022","43,442.6","38,606.5","43,442.6","38,442.6","17.21M","5.16%"
"05/09/2022","41,311.5","43,032.8","43,360.6","41,311.5","10.70M","-6.84%"
"05/06/2022","44,344.3","45,901.6","47,131.1","44,344.3","8.56M","-6.88%"
"05/05/2022","47,622.9","51,147.5","51,393.4","46,639.3","8.69M","-4.75%"
"05/04/2022","50,000.0","52,049.2","53,114.7","50,000.0","8.56M","-6.15%"
"04/29/2022","53,278.7","50,000.0","54,098.3","50,000.0","9.46M","5.18%"
"04/28/2022","50,655.7","52,868.8","53,852.4","50,409.8","7.83M","-4.04%"
"04/27/2022","52,786.9","50,000.0","52,786.9","45,983.6","12.66M","6.98%"
"04/26/2022","49,344.3","42,950.8","49,344.3","42,950.8","12.55M","6.93%"
"04/25/2022","46,147.5","50,819.7","51,475.4","46,147.5","9.56M","-6.94%"
"04/22/2022","49,590.2","50,819.7","54,918.0","49,344.3","10.61M","-6.49%"
"04/21/2022","53,032.8","53,032.8","56,557.4","53,032.8","12.76M","-6.91%"
"04/20/2022","56,967.2","58,196.7","60,082.0","56,967.2","5.86M","-3.74%"
