"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","72,000.0","76,600.0","77,400.0","72,000.0","2.59M","-5.88%"
"07/28/2022","76,500.0","79,400.0","79,400.0","76,200.0","1.69M","-1.92%"
"07/27/2022","78,000.0","76,900.0","78,500.0","75,700.0","1.19M","1.30%"
"07/26/2022","77,000.0","77,400.0","78,500.0","76,100.0","857.30K","0.65%"
"07/25/2022","76,500.0","76,300.0","78,600.0","75,200.0","1.03M","0.00%"
"07/22/2022","76,500.0","79,000.0","79,500.0","76,500.0","948.50K","-3.16%"
"07/21/2022","79,000.0","77,000.0","80,600.0","77,000.0","2.56M","4.64%"
"07/20/2022","75,500.0","71,500.0","75,500.0","71,200.0","1.22M","6.94%"
"07/19/2022","70,600.0","72,000.0","72,500.0","70,300.0","1.10M","-2.62%"
"07/18/2022","72,500.0","73,300.0","74,900.0","70,000.0","1.52M","-1.09%"
"07/15/2022","73,300.0","76,000.0","78,600.0","70,900.0","1.61M","-3.55%"
"07/14/2022","76,000.0","74,100.0","76,000.0","73,600.0","1.17M","-0.13%"
"07/13/2022","76,100.0","78,500.0","78,800.0","75,500.0","473.10K","-2.44%"
"07/12/2022","78,000.0","74,400.0","78,000.0","74,400.0","687.40K","4.70%"
"07/11/2022","74,500.0","77,800.0","78,100.0","73,600.0","1.04M","-5.82%"
"07/08/2022","79,100.0","79,500.0","81,100.0","77,900.0","503.80K","0.76%"
"07/07/2022","78,500.0","74,000.0","79,400.0","74,000.0","948.20K","5.51%"
"07/06/2022","74,400.0","77,000.0","78,900.0","74,400.0","1.51M","-7.00%"
"07/05/2022","80,000.0","85,500.0","86,000.0","80,000.0","2.38M","-6.98%"
"07/04/2022","86,000.0","89,300.0","90,200.0","85,500.0","637.40K","-3.15%"
"07/01/2022","88,800.0","90,300.0","90,900.0","84,900.0","1.91M","-2.63%"
"06/30/2022","91,200.0","92,200.0","93,000.0","90,500.0","737.20K","0.00%"
"06/29/2022","91,200.0","92,100.0","94,500.0","89,300.0","1.12M","-2.98%"
"06/28/2022","94,000.0","89,000.0","94,900.0","88,500.0","2.02M","5.62%"
"06/27/2022","89,000.0","90,400.0","92,000.0","88,200.0","1.14M","-1.87%"
"06/24/2022","90,700.0","91,500.0","93,500.0","90,000.0","866.60K","1.00%"
"06/23/2022","89,800.0","81,000.0","89,800.0","80,700.0","1.46M","6.90%"
"06/22/2022","84,000.0","92,000.0","92,300.0","84,000.0","3.47M","-6.98%"
"06/21/2022","90,300.0","96,700.0","98,700.0","90,300.0","1.46M","-6.91%"
"06/20/2022","97,000.0","103,000.0","103,900.0","96,500.0","1.92M","-4.90%"
"06/17/2022","102,000.0","94,500.0","102,000.0","93,000.0","2.14M","4.40%"
"06/16/2022","97,700.0","94,500.0","97,700.0","92,100.0","1.88M","6.89%"
"06/15/2022","91,400.0","90,000.0","94,000.0","88,900.0","1.12M","1.56%"
"06/14/2022","90,000.0","86,100.0","92,000.0","86,100.0","1.73M","-2.28%"
"06/13/2022","92,100.0","94,800.0","96,800.0","92,100.0","2.15M","-6.97%"
"06/10/2022","99,000.0","99,000.0","103,800.0","98,000.0","1.62M","-1.39%"
"06/09/2022","100,400.0","101,000.0","103,500.0","99,500.0","1.18M","-2.24%"
"06/08/2022","102,700.0","99,000.0","102,800.0","98,300.0","2.00M","6.87%"
"06/07/2022","96,100.0","96,000.0","96,100.0","91,100.0","1.85M","6.54%"
"06/06/2022","90,200.0","90,333.0","92,800.0","90,067.0","2.31M","-0.66%"
"06/03/2022","90,800.0","92,000.0","92,000.0","88,867.0","1.43M","0.15%"
"06/02/2022","90,667.0","88,667.0","92,467.0","88,000.0","1.43M","3.42%"
"06/01/2022","87,667.0","83,333.0","87,667.0","83,000.0","1.32M","6.13%"
"05/31/2022","82,600.0","87,333.0","87,333.0","81,333.0","2.37M","-5.28%"
"05/30/2022","87,200.0","88,667.0","88,800.0","86,667.0","1.07M","-1.51%"
"05/27/2022","88,533.0","84,000.0","88,800.0","83,000.0","1.86M","6.67%"
"05/26/2022","83,000.0","82,667.0","85,000.0","82,333.0","1.64M","2.22%"
"05/25/2022","81,200.0","76,333.0","81,200.0","75,667.0","1.60M","6.94%"
"05/24/2022","75,933.0","75,333.0","75,933.0","72,000.0","1.26M","2.15%"
"05/23/2022","74,333.0","73,667.0","76,600.0","71,867.0","1.55M","2.76%"
"05/20/2022","72,333.0","73,200.0","74,600.0","71,667.0","1.86M","-1.36%"
"05/19/2022","73,333.0","70,400.0","74,000.0","70,400.0","1.23M","-3.08%"
"05/18/2022","75,667.0","73,800.0","76,000.0","72,667.0","1.77M","4.42%"
"05/17/2022","72,467.0","63,000.0","72,467.0","63,000.0","3.43M","6.99%"
"05/16/2022","67,733.0","73,333.0","76,000.0","67,733.0","1.86M","-6.96%"
"05/13/2022","72,800.0","72,800.0","74,600.0","72,800.0","2.03M","-6.99%"
"05/12/2022","78,267.0","83,733.0","84,000.0","78,267.0","1.51M","-6.97%"
"05/11/2022","84,133.0","82,800.0","85,800.0","82,000.0","849.15K","2.60%"
"05/10/2022","82,000.0","81,867.0","86,667.0","81,867.0","3.19M","-6.82%"
"05/09/2022","88,000.0","91,000.0","92,600.0","88,000.0","1.75M","-6.98%"
"05/06/2022","94,600.0","98,667.0","100,600.0","94,600.0","1.42M","-6.95%"
"05/05/2022","101,667.0","105,400.0","106,333.0","99,533.0","1.05M","-3.30%"
"05/04/2022","105,133.0","103,333.0","106,333.0","102,867.0","1.38M","0.77%"
"04/29/2022","104,333.0","98,000.0","105,333.0","97,867.0","1.10M","4.82%"
"04/28/2022","99,533.0","97,667.0","102,000.0","97,333.0","756.75K","2.26%"
"04/27/2022","97,333.0","94,667.0","98,667.0","90,800.0","792.75K","0.69%"
"04/26/2022","96,667.0","89,133.0","98,000.0","89,067.0","2.22M","0.98%"
"04/25/2022","95,733.0","100,000.0","103,333.0","95,733.0","1.66M","-6.99%"
"04/22/2022","102,933.0","110,400.0","112,000.0","102,933.0","3.56M","-6.99%"
"04/21/2022","110,667.0","109,667.0","113,000.0","105,067.0","1.84M","-1.25%"
"04/20/2022","112,067.0","113,200.0","116,667.0","111,467.0","867.45K","-1.00%"
"04/19/2022","113,200.0","108,333.0","115,200.0","107,333.0","2.20M","5.14%"
"04/18/2022","107,667.0","106,733.0","109,267.0","103,000.0","3.01M","-1.82%"
"04/15/2022","109,667.0","109,000.0","113,267.0","108,067.0","1.20M","-0.48%"
"04/14/2022","110,200.0","104,000.0","110,533.0","104,000.0","2.50M","6.65%"
"04/13/2022","103,333.0","96,600.0","103,333.0","95,867.0","915.75K","6.90%"
"04/12/2022","96,667.0","95,333.0","98,000.0","92,600.0","1.48M","-1.83%"
"04/08/2022","98,467.0","102,000.0","103,000.0","94,667.0","1.29M","-2.83%"
"04/07/2022","101,333.0","106,600.0","106,667.0","101,333.0","1.26M","-2.81%"
"04/06/2022","104,267.0","101,667.0","106,667.0","101,333.0","1.37M","1.89%"
"04/05/2022","102,333.0","101,667.0","104,333.0","101,333.0","777.75K","0.33%"
"04/04/2022","102,000.0","102,333.0","103,267.0","101,200.0","609.75K","0.53%"
"04/01/2022","101,467.0","100,000.0","102,333.0","97,667.0","1.08M","1.40%"
"03/31/2022","100,067.0","103,733.0","103,733.0","98,667.0","2.38M","-3.78%"
"03/30/2022","104,000.0","104,000.0","106,333.0","102,133.0","1.05M","0.00%"
"03/29/2022","104,000.0","104,200.0","104,600.0","102,000.0","999.60K","0.97%"
"03/28/2022","103,000.0","100,800.0","104,333.0","100,800.0","1.48M","-0.64%"
"03/25/2022","103,667.0","101,333.0","104,667.0","100,667.0","1.67M","3.67%"
"03/24/2022","100,000.0","98,667.0","101,267.0","98,000.0","700.35K","0.67%"
"03/23/2022","99,333.0","95,467.0","102,000.0","95,467.0","1.69M","4.20%"
"03/22/2022","95,333.0","97,000.0","98,000.0","93,333.0","2.35M","-2.79%"
"03/21/2022","98,067.0","96,000.0","99,667.0","94,733.0","1.20M","1.59%"
"03/18/2022","96,533.0","96,667.0","97,200.0","94,667.0","1.28M","-0.69%"
"03/17/2022","97,200.0","95,733.0","97,200.0","92,667.0","2.48M","6.89%"
"03/16/2022","90,933.0","88,000.0","90,933.0","86,733.0","1.72M","6.98%"
"03/15/2022","85,000.0","84,267.0","85,000.0","82,533.0","998.55K","2.16%"
"03/14/2022","83,200.0","84,200.0","85,333.0","80,867.0","1.98M","-3.03%"
"03/11/2022","85,800.0","87,333.0","89,600.0","84,667.0","1.61M","0.39%"
"03/10/2022","85,467.0","80,133.0","85,467.0","80,133.0","957.15K","6.92%"
"03/09/2022","79,933.0","81,333.0","82,600.0","77,000.0","2.79M","-0.83%"
"03/08/2022","80,600.0","86,000.0","87,267.0","80,600.0","2.82M","-7.00%"
"03/07/2022","86,667.0","86,867.0","88,667.0","85,333.0","1.04M","0.00%"
"03/04/2022","86,667.0","84,733.0","89,600.0","84,000.0","1.73M","2.04%"
"03/03/2022","84,933.0","84,667.0","86,133.0","83,200.0","1.45M","0.31%"
"03/02/2022","84,667.0","82,667.0","85,800.0","82,000.0","1.36M","2.42%"
"03/01/2022","82,667.0","80,467.0","84,533.0","79,267.0","1.93M","1.39%"
"02/28/2022","81,533.0","83,333.0","83,333.0","77,533.0","2.50M","-2.16%"
"02/25/2022","83,333.0","85,000.0","87,933.0","82,333.0","1.84M","0.24%"
"02/24/2022","83,133.0","76,667.0","83,133.0","76,667.0","3.45M","6.95%"
"02/23/2022","77,733.0","78,000.0","80,933.0","76,000.0","1.94M","0.52%"
"02/22/2022","77,333.0","70,667.0","77,333.0","69,333.0","3.35M","6.91%"
"02/21/2022","72,333.0","73,067.0","73,067.0","71,333.0","3.71M","5.85%"
"02/18/2022","68,333.0","65,333.0","68,333.0","64,667.0","2.67M","6.99%"
"02/17/2022","63,867.0","62,133.0","64,600.0","61,800.0","1.27M","1.70%"
"02/16/2022","62,800.0","66,400.0","66,400.0","62,667.0","2.42M","-4.07%"
"02/15/2022","65,467.0","65,800.0","67,333.0","65,400.0","1.59M","0.10%"
"02/14/2022","65,400.0","64,667.0","67,333.0","64,533.0","1.74M","-0.91%"
"02/11/2022","66,000.0","64,667.0","67,867.0","64,667.0","1.48M","2.06%"
"02/10/2022","64,667.0","64,533.0","65,067.0","63,133.0","1.43M","1.25%"
"02/09/2022","63,867.0","62,667.0","64,667.0","60,667.0","1.53M","1.91%"
"02/08/2022","62,667.0","63,333.0","65,733.0","62,467.0","1.85M","0.21%"
"02/07/2022","62,533.0","62,533.0","62,533.0","62,000.0","2.65M","6.95%"
"01/28/2022","58,467.0","55,467.0","58,733.0","55,467.0","1.79M","5.66%"
"01/27/2022","55,333.0","53,333.0","56,000.0","53,000.0","1.18M","2.98%"
"01/26/2022","53,733.0","54,000.0","54,133.0","52,667.0","413.70K","0.00%"
"01/25/2022","53,733.0","53,067.0","53,733.0","50,800.0","811.65K","1.13%"
"01/24/2022","53,133.0","54,667.0","54,667.0","51,467.0","1.08M","-3.98%"
"01/21/2022","55,333.0","55,333.0","55,933.0","54,267.0","794.55K","0.00%"
"01/20/2022","55,333.0","56,000.0","56,000.0","53,733.0","728.55K","0.48%"
"01/19/2022","55,067.0","51,933.0","55,067.0","48,733.0","1.24M","5.90%"
"01/18/2022","52,000.0","52,533.0","53,333.0","50,800.0","2.12M","-4.76%"
"01/17/2022","54,600.0","57,933.0","58,267.0","54,600.0","1.77M","-6.93%"
"01/14/2022","58,667.0","53,333.0","58,800.0","53,333.0","2.03M","6.03%"
"01/13/2022","55,333.0","53,333.0","57,000.0","53,333.0","1.45M","2.98%"
"01/12/2022","53,733.0","51,667.0","53,733.0","49,533.0","3.48M","1.00%"
"01/11/2022","53,200.0","56,333.0","57,000.0","53,200.0","3.63M","-6.99%"
"01/10/2022","57,200.0","60,933.0","60,933.0","56,067.0","1.93M","-3.38%"
"01/07/2022","59,200.0","56,067.0","59,200.0","55,133.0","3.43M","1.49%"
"01/06/2022","58,333.0","61,733.0","62,400.0","58,333.0","5.44M","-6.92%"
"01/05/2022","62,667.0","62,467.0","66,000.0","61,667.0","2.32M","-1.05%"
"01/04/2022","63,333.0","65,733.0","66,000.0","63,333.0","3.30M","-5.19%"
"12/31/2021","66,800.0","70,200.0","70,200.0","64,800.0","3.73M","-4.12%"
"12/30/2021","69,667.0","69,667.0","71,667.0","68,667.0","1.46M","0.48%"
"12/29/2021","69,333.0","66,733.0","69,667.0","66,333.0","861.15K","2.97%"
"12/28/2021","67,333.0","66,000.0","67,333.0","64,067.0","1.06M","3.06%"
"12/27/2021","65,333.0","65,267.0","67,067.0","63,600.0","2.05M","4.14%"
"12/24/2021","62,733.0","58,667.0","62,733.0","58,200.0","2.13M","6.93%"
"12/23/2021","58,667.0","58,200.0","59,933.0","57,533.0","1.72M","0.57%"
"12/22/2021","58,333.0","56,867.0","59,933.0","56,867.0","1.49M","0.92%"
"12/21/2021","57,800.0","60,867.0","61,467.0","56,733.0","2.33M","-0.57%"
"12/20/2021","58,133.0","55,933.0","58,133.0","54,667.0","1.55M","6.99%"
"12/17/2021","54,333.0","50,733.0","54,333.0","50,000.0","2.46M","6.95%"
"12/16/2021","50,800.0","51,867.0","51,933.0","50,400.0","1.63M","-1.04%"
"12/15/2021","51,333.0","51,000.0","52,533.0","50,333.0","1.72M","0.65%"
"12/14/2021","51,000.0","50,600.0","52,667.0","49,267.0","2.47M","1.06%"
"12/13/2021","50,467.0","47,933.0","51,200.0","47,933.0","2.68M","5.43%"
"12/10/2021","47,867.0","47,267.0","47,867.0","46,267.0","3.23M","4.36%"
"12/09/2021","45,867.0","43,000.0","45,867.0","42,267.0","2.59M","7.00%"
"12/08/2021","42,867.0","41,533.0","42,867.0","41,000.0","1.65M","3.54%"
"12/07/2021","41,400.0","40,667.0","41,533.0","39,800.0","1.63M","3.50%"
"12/06/2021","40,000.0","41,000.0","41,400.0","39,000.0","2.20M","-3.23%"
"12/03/2021","41,333.0","42,000.0","42,533.0","40,733.0","1.68M","-1.59%"
"12/02/2021","42,000.0","41,133.0","42,800.0","40,667.0","2.55M","2.44%"
"12/01/2021","41,000.0","39,200.0","41,067.0","38,667.0","3.01M","6.03%"
"11/30/2021","38,667.0","38,800.0","39,867.0","38,467.0","1.64M","1.22%"
"11/29/2021","38,200.0","38,000.0","38,667.0","37,800.0","1.67M","-1.55%"
"11/26/2021","38,800.0","40,200.0","40,200.0","38,667.0","1.76M","-2.02%"
"11/25/2021","39,600.0","39,333.0","40,000.0","39,200.0","1.48M","0.85%"
"11/24/2021","39,267.0","40,000.0","40,200.0","39,000.0","1.26M","-0.17%"
"11/23/2021","39,333.0","37,267.0","39,667.0","37,267.0","1.71M","5.54%"
"11/22/2021","37,267.0","38,600.0","39,333.0","37,000.0","2.70M","-5.25%"
"11/19/2021","39,333.0","40,200.0","40,867.0","37,867.0","2.51M","-2.48%"
"11/18/2021","40,333.0","40,867.0","40,933.0","40,000.0","1.22M","-0.49%"
"11/17/2021","40,533.0","38,733.0","40,667.0","38,333.0","2.75M","4.83%"
"11/16/2021","38,667.0","39,067.0","39,467.0","38,333.0","1.75M","-2.03%"
"11/15/2021","39,467.0","40,000.0","40,600.0","38,733.0","2.06M","1.54%"
"11/12/2021","38,867.0","36,667.0","38,867.0","36,133.0","3.10M","6.97%"
"11/11/2021","36,333.0","36,800.0","37,333.0","35,933.0","2.31M","-0.55%"
"11/10/2021","36,533.0","35,933.0","37,200.0","35,800.0","2.00M","1.11%"
"11/09/2021","36,133.0","36,667.0","37,000.0","36,000.0","1.62M","-1.09%"
"11/08/2021","36,533.0","37,000.0","37,400.0","36,333.0","1.59M","-1.26%"
"11/05/2021","37,000.0","36,267.0","37,533.0","35,667.0","1.88M","2.02%"
"11/04/2021","36,267.0","35,067.0","36,933.0","35,000.0","2.79M","3.42%"
"11/03/2021","35,067.0","38,000.0","38,000.0","35,000.0","3.61M","-6.74%"
"11/02/2021","37,600.0","36,667.0","38,067.0","35,333.0","2.86M","2.73%"
"11/01/2021","36,600.0","35,333.0","37,133.0","35,067.0","4.54M","5.38%"
"10/29/2021","34,733.0","34,667.0","35,000.0","34,200.0","1.87M","0.38%"
"10/28/2021","34,600.0","35,200.0","35,200.0","34,067.0","2.40M","1.56%"
"10/27/2021","34,067.0","31,900.0","34,067.0","31,900.0","5.96M","6.79%"
"10/26/2021","31,900.0","31,333.0","31,900.0","30,733.0","1.21M","1.16%"
"10/25/2021","31,533.0","32,000.0","32,367.0","31,533.0","1.68M","-0.84%"
"10/22/2021","31,800.0","31,600.0","32,200.0","31,333.0","2.04M","0.63%"
"10/21/2021","31,600.0","30,667.0","31,600.0","30,400.0","1.91M","3.04%"
"10/20/2021","30,667.0","31,300.0","31,300.0","30,200.0","3.30M","-2.02%"
"10/19/2021","31,300.0","31,467.0","31,467.0","31,233.0","1.08M","-0.53%"
"10/18/2021","31,467.0","31,867.0","31,967.0","31,367.0","1.47M","-1.05%"
"10/15/2021","31,800.0","31,400.0","32,400.0","31,333.0","3.02M","1.49%"
"10/14/2021","31,333.0","31,200.0","31,867.0","31,200.0","1.48M","0.21%"
"10/13/2021","31,267.0","31,867.0","31,867.0","31,267.0","1.89M","-1.37%"
"10/12/2021","31,700.0","31,400.0","32,000.0","31,267.0","1.92M","0.53%"
"10/11/2021","31,533.0","31,967.0","31,967.0","31,267.0","3.20M","-1.46%"
"10/08/2021","32,000.0","32,400.0","32,400.0","31,733.0","2.09M","-1.03%"
"10/07/2021","32,333.0","31,967.0","32,400.0","31,933.0","2.24M","2.00%"
"10/06/2021","31,700.0","31,600.0","32,267.0","31,000.0","2.37M","1.28%"
"10/05/2021","31,300.0","31,200.0","32,000.0","31,167.0","2.30M","-0.11%"
"10/04/2021","31,333.0","31,467.0","32,200.0","31,067.0","1.91M","-1.16%"
"10/01/2021","31,700.0","31,867.0","32,667.0","31,600.0","2.60M","0.00%"
"09/30/2021","31,700.0","30,600.0","31,933.0","30,533.0","5.60M","4.73%"
"09/29/2021","30,267.0","29,867.0","30,533.0","29,467.0","1.38M","0.89%"
"09/28/2021","30,000.0","29,667.0","30,200.0","29,300.0","1.56M","2.27%"
"09/27/2021","29,333.0","29,333.0","30,533.0","29,333.0","2.79M","0.00%"
"09/24/2021","29,333.0","30,433.0","30,667.0","29,333.0","2.79M","-3.41%"
"09/23/2021","30,367.0","30,600.0","31,000.0","30,167.0","2.28M","-0.76%"
"09/22/2021","30,600.0","30,967.0","31,233.0","30,133.0","2.28M","-1.19%"
"09/21/2021","30,967.0","29,333.0","30,967.0","29,333.0","4.02M","3.22%"
"09/20/2021","30,000.0","31,533.0","31,933.0","29,933.0","3.84M","-4.25%"
"09/17/2021","31,333.0","30,567.0","31,600.0","30,567.0","3.48M","2.62%"
"09/16/2021","30,533.0","30,500.0","31,333.0","30,000.0","4.13M","0.22%"
"09/15/2021","30,467.0","30,400.0","31,200.0","29,667.0","2.64M","0.22%"
"09/14/2021","30,400.0","30,000.0","31,000.0","29,667.0","5.09M","4.35%"
"09/13/2021","29,133.0","27,333.0","29,133.0","27,267.0","8.77M","6.98%"
"09/10/2021","27,233.0","27,467.0","27,600.0","27,000.0","1.82M","-0.25%"
"09/09/2021","27,300.0","26,400.0","27,333.0","26,400.0","2.12M","2.63%"
"09/08/2021","26,600.0","27,267.0","27,467.0","26,333.0","3.70M","-2.68%"
"09/07/2021","27,333.0","28,567.0","28,667.0","27,333.0","3.92M","-4.32%"
"09/06/2021","28,567.0","28,933.0","29,000.0","28,467.0","2.36M","1.30%"
"09/01/2021","28,200.0","27,333.0","28,333.0","27,067.0","4.62M","2.67%"
"08/31/2021","27,467.0","27,600.0","27,967.0","27,000.0","3.84M","-0.48%"
"08/30/2021","27,600.0","27,867.0","27,867.0","27,400.0","2.96M","1.22%"
"08/27/2021","27,267.0","25,933.0","27,267.0","25,733.0","3.05M","3.55%"
"08/26/2021","26,333.0","25,800.0","26,967.0","25,800.0","2.78M","1.28%"
"08/25/2021","26,000.0","26,333.0","26,333.0","25,467.0","1.75M","-1.02%"
"08/24/2021","26,267.0","25,200.0","26,333.0","25,000.0","3.58M","4.23%"
"08/23/2021","25,200.0","26,333.0","26,600.0","25,200.0","5.28M","-5.38%"
"08/20/2021","26,633.0","28,200.0","28,600.0","26,533.0","6.84M","-6.22%"
"08/19/2021","28,400.0","28,333.0","28,667.0","28,200.0","2.45M","-0.93%"
"08/18/2021","28,667.0","28,400.0","29,167.0","28,333.0","2.84M","-0.92%"
"08/17/2021","28,933.0","28,000.0","29,200.0","27,467.0","4.78M","3.33%"
"08/16/2021","28,000.0","28,000.0","28,600.0","27,333.0","3.20M","0.00%"
"08/13/2021","28,000.0","26,800.0","28,000.0","26,333.0","6.93M","2.94%"
"08/12/2021","27,200.0","27,600.0","28,333.0","26,667.0","5.29M","-1.69%"
"08/11/2021","27,667.0","27,333.0","28,400.0","27,000.0","5.09M","1.72%"
"08/10/2021","27,200.0","26,267.0","27,467.0","25,933.0","5.37M","3.82%"
"08/09/2021","26,200.0","25,933.0","26,467.0","25,700.0","3.55M","1.03%"
"08/06/2021","25,933.0","24,900.0","26,600.0","24,900.0","6.91M","4.15%"
"08/05/2021","24,900.0","24,967.0","25,100.0","24,667.0","4.26M","-0.80%"
"08/04/2021","25,100.0","25,300.0","25,533.0","24,933.0","4.56M","-0.66%"
"08/03/2021","25,267.0","25,100.0","25,600.0","24,833.0","4.95M","0.27%"
"08/02/2021","25,200.0","24,667.0","25,800.0","24,367.0","5.26M","0.93%"
"07/30/2021","24,967.0","25,267.0","25,667.0","24,967.0","5.18M","0.00%"
"07/29/2021","24,967.0","23,467.0","24,967.0","23,233.0","6.69M","7.00%"
"07/28/2021","23,333.0","23,767.0","24,000.0","23,200.0","6.35M","-3.18%"
"07/27/2021","24,100.0","24,533.0","24,800.0","23,733.0","7.62M","0.00%"
"07/26/2021","24,100.0","22,733.0","24,100.0","22,533.0","8.20M","6.95%"
