"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","19,018.7","19,252.3","19,439.2","18,972.0","5.25M","-0.97%"
"07/28/2022","19,205.6","19,532.7","19,953.3","19,205.6","7.60M","0.00%"
"07/27/2022","19,205.6","18,878.5","19,345.8","18,691.6","3.80M","0.74%"
"07/26/2022","19,065.4","19,018.7","19,859.8","19,018.7","5.45M","0.00%"
"07/25/2022","19,065.4","18,598.1","19,345.8","18,598.1","5.58M","3.03%"
"07/22/2022","18,504.7","18,972.0","19,299.1","18,504.7","4.02M","-2.46%"
"07/21/2022","18,972.0","19,579.4","19,579.4","18,972.0","5.13M","-3.10%"
"07/20/2022","19,579.4","18,691.6","19,579.4","18,598.1","13.13M","6.89%"
"07/19/2022","18,317.7","18,364.5","18,504.7","17,943.9","2.91M","0.00%"
"07/18/2022","18,317.7","18,271.0","19,018.7","18,084.1","8.13M","0.77%"
"07/15/2022","18,177.6","18,411.2","18,878.5","18,177.6","6.44M","-0.26%"
"07/14/2022","18,224.3","17,897.2","18,411.2","17,850.5","3.40M","1.04%"
"07/13/2022","18,037.4","18,504.7","18,831.8","17,943.9","6.88M","-2.53%"
"07/12/2022","18,504.7","18,084.1","18,598.1","17,850.5","6.26M","2.06%"
"07/11/2022","18,130.8","17,710.3","18,457.9","17,523.4","4.61M","0.52%"
"07/08/2022","18,037.4","17,943.9","18,504.7","17,757.0","4.14M","2.12%"
"07/07/2022","17,663.5","16,635.5","17,663.5","16,635.5","6.75M","6.78%"
"07/06/2022","16,542.0","16,261.7","16,775.7","16,074.8","4.38M","0.00%"
"07/05/2022","16,542.0","16,869.2","17,102.8","16,542.0","3.02M","-1.94%"
"07/04/2022","16,869.2","16,869.2","17,196.3","16,775.7","2.99M","1.40%"
"07/01/2022","16,635.5","15,654.2","16,635.5","15,327.1","5.28M","6.91%"
"06/30/2022","15,560.7","16,355.1","16,682.2","15,514.0","3.22M","-4.86%"
"06/29/2022","16,355.1","16,635.5","16,915.9","16,261.7","5.39M","-3.32%"
"06/28/2022","16,915.9","16,729.0","17,243.0","16,729.0","3.02M","1.12%"
"06/27/2022","16,729.0","16,542.0","16,962.6","16,355.1","2.76M","3.17%"
