"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","14,200","14,300","14,550","14,100","184.10K","0.00%"
"07/28/2022","14,200","14,350","14,450","14,200","97.40K","0.35%"
"07/27/2022","14,150","14,200","14,350","13,450","226.10K","-0.35%"
"07/26/2022","14,200","14,500","14,800","14,200","125.40K","-2.07%"
"07/25/2022","14,500","14,500","14,850","14,500","207.50K","0.69%"
"07/22/2022","14,400","14,000","14,700","13,850","327.50K","2.86%"
"07/21/2022","14,000","14,300","14,300","14,000","139.50K","-2.10%"
"07/20/2022","14,300","14,350","14,450","14,100","166.60K","2.14%"
"07/19/2022","14,000","14,100","14,150","13,800","266.90K","-1.41%"
"07/18/2022","14,200","14,400","14,700","13,900","170.30K","2.16%"
"07/15/2022","13,900","14,000","14,200","13,900","192.30K","0.72%"
"07/14/2022","13,800","13,500","13,800","13,100","272.20K","0.73%"
"07/13/2022","13,700","13,800","14,100","13,600","184.40K","-0.72%"
"07/12/2022","13,800","13,650","14,000","13,650","135.10K","1.10%"
"07/11/2022","13,650","13,200","13,850","13,150","245.40K","3.80%"
"07/08/2022","13,150","12,700","13,250","12,700","221.60K","3.95%"
"07/07/2022","12,650","12,750","12,750","12,450","61.20K","-0.78%"
"07/06/2022","12,750","12,750","13,000","12,650","84.50K","0.00%"
"07/05/2022","12,750","12,900","13,300","12,750","92.80K","-2.30%"
"07/04/2022","13,050","13,400","13,400","13,000","46.90K","0.38%"
"07/01/2022","13,000","13,100","13,100","12,500","99.20K","-0.76%"
"06/30/2022","13,100","13,750","13,750","13,100","81.00K","-5.07%"
"06/29/2022","13,800","13,750","14,000","13,600","41.00K","-1.08%"
"06/28/2022","13,950","13,500","14,200","13,500","120.60K","3.72%"
"06/27/2022","13,450","13,450","13,550","13,350","109.60K","0.75%"
"06/24/2022","13,350","13,400","13,650","13,250","96.80K","1.14%"
"06/23/2022","13,200","12,800","13,400","12,800","87.50K","2.72%"
"06/22/2022","12,850","12,600","13,000","12,350","59.60K","5.76%"
"06/21/2022","12,150","12,150","12,900","12,100","129.70K","-4.33%"
"06/20/2022","12,700","13,600","13,900","12,700","57.00K","-6.62%"
"06/17/2022","13,600","14,000","14,000","13,250","171.90K","-4.23%"
"06/16/2022","14,200","14,400","14,650","14,200","66.60K","0.00%"
"06/15/2022","14,200","15,250","15,250","14,200","211.30K","-6.89%"
"06/14/2022","15,250","15,500","15,750","15,050","136.30K","-1.93%"
"06/13/2022","15,550","16,000","16,300","15,550","170.50K","-6.61%"
"06/10/2022","16,650","17,000","17,250","16,600","85.80K","-2.63%"
"06/09/2022","17,100","16,900","17,350","16,500","160.00K","1.79%"
"06/08/2022","16,800","16,200","16,950","16,200","124.70K","3.70%"
"06/07/2022","16,200","16,050","16,250","15,900","137.40K","0.93%"
"06/06/2022","16,050","16,600","16,700","16,050","261.60K","-2.73%"
"06/03/2022","16,500","17,000","17,000","16,500","147.30K","-2.94%"
"06/02/2022","17,000","17,600","17,700","16,750","254.30K","-2.30%"
"06/01/2022","17,400","17,900","17,900","17,300","218.50K","-2.25%"
