"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","43,750.0","43,850.0","44,000.0","43,300.0","978.30K","0.00%"
"07/28/2022","43,750.0","43,600.0","44,350.0","43,000.0","1.17M","1.04%"
"07/27/2022","43,300.0","43,450.0","43,450.0","42,550.0","432.90K","-0.69%"
"07/26/2022","43,600.0","43,550.0","43,600.0","41,850.0","838.20K","0.93%"
"07/25/2022","43,200.0","44,500.0","44,600.0","43,200.0","486.30K","-3.79%"
"07/22/2022","44,900.0","46,000.0","46,100.0","44,800.0","517.00K","-1.10%"
"07/21/2022","45,400.0","43,800.0","45,750.0","43,700.0","1.18M","4.13%"
"07/20/2022","43,600.0","43,500.0","43,900.0","43,250.0","1.01M","0.69%"
"07/19/2022","43,300.0","43,550.0","43,550.0","42,600.0","240.70K","-0.46%"
"07/18/2022","43,500.0","43,700.0","43,700.0","42,900.0","342.80K","0.46%"
"07/15/2022","43,300.0","43,750.0","43,950.0","43,300.0","357.60K","-2.70%"
"07/14/2022","44,500.0","43,750.0","44,500.0","42,800.0","488.70K","1.25%"
"07/13/2022","43,950.0","43,500.0","43,950.0","42,700.0","362.90K","0.92%"
"07/12/2022","43,550.0","44,000.0","44,100.0","42,900.0","597.70K","-1.02%"
"07/11/2022","44,000.0","43,000.0","44,000.0","42,650.0","419.70K","-0.68%"
"07/08/2022","44,300.0","44,500.0","44,800.0","42,950.0","561.40K","0.45%"
"07/07/2022","44,100.0","40,950.0","44,100.0","40,950.0","712.30K","0.23%"
"07/06/2022","44,000.0","44,000.0","45,400.0","43,200.0","267.20K","-2.11%"
"07/05/2022","44,950.0","45,850.0","45,900.0","44,250.0","373.00K","-1.86%"
"07/04/2022","45,800.0","46,350.0","46,800.0","45,700.0","121.20K","-1.51%"
"07/01/2022","46,500.0","46,000.0","46,500.0","44,100.0","320.80K","0.00%"
"06/30/2022","46,500.0","46,500.0","47,200.0","45,850.0","418.40K","-0.85%"
"06/29/2022","46,900.0","46,000.0","46,900.0","45,900.0","366.50K","-1.26%"
"06/28/2022","47,500.0","45,600.0","47,500.0","44,500.0","678.20K","1.06%"
"06/27/2022","47,000.0","46,500.0","47,400.0","46,500.0","302.60K","1.08%"
"06/24/2022","46,500.0","45,000.0","47,500.0","44,000.0","532.00K","2.88%"
"06/23/2022","45,200.0","42,000.0","45,200.0","39,300.0","1.20M","6.98%"
"06/22/2022","42,250.0","45,350.0","45,400.0","42,250.0","548.30K","-6.94%"
"06/21/2022","45,400.0","48,000.0","48,700.0","45,400.0","412.60K","-6.97%"
"06/20/2022","48,800.0","48,600.0","50,400.0","47,800.0","328.20K","-2.40%"
"06/17/2022","50,000.0","48,500.0","50,300.0","47,000.0","617.60K","-0.60%"
"06/16/2022","50,300.0","50,500.0","50,700.0","48,950.0","817.80K","-0.40%"
"06/15/2022","50,500.0","50,500.0","50,900.0","48,050.0","509.40K","0.00%"
"06/14/2022","50,500.0","49,250.0","51,000.0","49,100.0","702.70K","-1.94%"
"06/13/2022","51,500.0","49,800.0","51,500.0","49,200.0","891.90K","-2.65%"
"06/10/2022","52,900.0","53,500.0","53,500.0","51,800.0","395.20K","-2.40%"
"06/09/2022","54,200.0","54,200.0","54,900.0","53,500.0","240.10K","-0.91%"
"06/08/2022","54,700.0","54,500.0","56,000.0","53,500.0","867.20K","0.37%"
"06/07/2022","54,500.0","52,000.0","54,500.0","48,600.0","868.40K","6.23%"
"06/06/2022","51,304.0","53,130.0","53,217.0","51,304.0","918.85K","-3.75%"
"06/03/2022","53,304.0","54,261.0","54,261.0","52,087.0","916.67K","-1.13%"
"06/02/2022","53,913.0","52,000.0","55,217.0","52,000.0","1.72M","3.68%"
"06/01/2022","52,000.0","52,174.0","52,435.0","51,043.0","623.30K","-0.66%"
"05/31/2022","52,348.0","52,087.0","53,043.0","51,130.0","1.03M","0.33%"
"05/30/2022","52,174.0","52,870.0","52,870.0","51,565.0","661.14K","-1.15%"
"05/27/2022","52,783.0","52,087.0","53,391.0","52,087.0","668.73K","0.00%"
"05/26/2022","52,783.0","52,870.0","52,957.0","52,087.0","518.77K","1.17%"
"05/25/2022","52,174.0","51,391.0","52,261.0","50,609.0","903.67K","1.70%"
"05/24/2022","51,304.0","49,217.0","51,304.0","48,957.0","448.50K","0.17%"
"05/23/2022","51,217.0","51,217.0","51,217.0","48,696.0","563.39K","-0.17%"
"05/20/2022","51,304.0","50,348.0","51,652.0","50,174.0","405.95K","0.00%"
"05/19/2022","51,304.0","50,000.0","51,304.0","49,565.0","246.10K","0.00%"
"05/18/2022","51,304.0","53,043.0","53,043.0","51,217.0","600.65K","-2.96%"
"05/17/2022","52,870.0","48,696.0","52,870.0","46,261.0","626.64K","6.67%"
"05/16/2022","49,565.0","49,739.0","50,696.0","47,391.0","921.84K","0.18%"
"05/13/2022","49,478.0","52,870.0","52,870.0","49,478.0","596.62K","-6.87%"
"05/12/2022","53,130.0","55,391.0","56,174.0","53,130.0","333.39K","-6.86%"
"05/11/2022","57,043.0","56,087.0","57,391.0","55,652.0","537.97K","0.30%"
"05/10/2022","56,870.0","51,217.0","56,870.0","51,217.0","1.32M","3.32%"
"05/09/2022","55,043.0","55,739.0","57,304.0","55,043.0","598.46K","-6.91%"
"05/06/2022","59,130.0","60,000.0","60,000.0","57,826.0","695.75K","-2.86%"
"05/05/2022","60,870.0","60,957.0","62,000.0","59,826.0","500.94K","-1.27%"
"05/04/2022","61,652.0","60,870.0","62,000.0","60,087.0","463.91K","-0.14%"
"04/29/2022","61,739.0","59,913.0","61,739.0","59,478.0","795.23K","1.86%"
"04/28/2022","60,609.0","59,565.0","61,478.0","59,565.0","345.23K","-0.43%"
"04/27/2022","60,870.0","59,130.0","61,739.0","57,826.0","546.83K","0.00%"
"04/26/2022","60,870.0","54,261.0","60,870.0","54,261.0","1.52M","4.48%"
"04/25/2022","58,261.0","62,000.0","63,391.0","58,261.0","893.21K","-6.94%"
"04/22/2022","62,609.0","64,174.0","64,174.0","59,913.0","2.37M","-2.70%"
"04/21/2022","64,348.0","63,478.0","64,348.0","60,696.0","1.81M","-1.33%"
"04/20/2022","65,217.0","67,826.0","68,435.0","63,913.0","1.91M","-5.06%"
"04/19/2022","68,696.0","68,522.0","69,130.0","67,565.0","1.98M","0.25%"
"04/18/2022","68,522.0","67,826.0","69,391.0","66,261.0","1.98M","1.03%"
"04/15/2022","67,826.0","65,130.0","68,174.0","64,870.0","3.27M","4.00%"
"04/14/2022","65,217.0","64,348.0","65,391.0","63,826.0","1.08M","0.00%"
"04/13/2022","65,217.0","61,739.0","65,217.0","61,043.0","1.38M","4.17%"
"04/12/2022","62,609.0","63,304.0","63,826.0","61,565.0","1.09M","-0.96%"
"04/08/2022","63,217.0","65,130.0","65,478.0","62,609.0","822.94K","-3.45%"
"04/07/2022","65,478.0","66,087.0","66,522.0","64,348.0","1.72M","-0.92%"
"04/06/2022","66,087.0","65,217.0","66,609.0","65,130.0","1.24M","0.00%"
"04/05/2022","66,087.0","66,087.0","66,087.0","64,696.0","1.16M","0.00%"
"04/04/2022","66,087.0","66,348.0","67,217.0","65,565.0","1.02M","-0.26%"
"04/01/2022","66,261.0","65,217.0","66,348.0","64,783.0","1.74M","0.93%"
"03/31/2022","65,652.0","66,261.0","66,783.0","64,522.0","1.17M","-1.31%"
"03/30/2022","66,522.0","66,348.0","67,043.0","65,217.0","1.48M","-0.65%"
"03/29/2022","66,957.0","65,391.0","67,130.0","65,391.0","1.57M","2.39%"
"03/28/2022","65,391.0","64,522.0","65,391.0","63,565.0","1.22M","1.07%"
"03/25/2022","64,696.0","62,696.0","64,696.0","61,913.0","1.46M","3.77%"
"03/24/2022","62,348.0","61,739.0","62,696.0","61,565.0","988.43K","0.70%"
"03/23/2022","61,913.0","61,739.0","63,304.0","61,478.0","1.18M","0.00%"
"03/22/2022","61,913.0","61,130.0","62,261.0","61,130.0","1.08M","1.14%"
"03/21/2022","61,217.0","61,739.0","62,087.0","61,043.0","723.01K","-0.85%"
"03/18/2022","61,739.0","61,739.0","62,870.0","61,478.0","935.41K","-1.25%"
"03/17/2022","62,522.0","62,609.0","63,217.0","61,652.0","1.03M","-0.14%"
"03/16/2022","62,609.0","62,087.0","63,304.0","62,000.0","911.84K","0.84%"
"03/15/2022","62,087.0","61,913.0","63,043.0","61,043.0","1.10M","-0.83%"
"03/14/2022","62,609.0","63,913.0","63,913.0","62,261.0","865.38K","-2.44%"
"03/11/2022","64,174.0","60,870.0","64,870.0","60,783.0","2.57M","4.68%"
"03/10/2022","61,304.0","60,000.0","61,913.0","59,565.0","1.41M","2.17%"
"03/09/2022","60,000.0","61,304.0","61,565.0","58,957.0","1.33M","-3.36%"
"03/08/2022","62,087.0","61,913.0","62,957.0","60,783.0","1.26M","-2.19%"
"03/07/2022","63,478.0","62,261.0","64,087.0","61,739.0","1.37M","0.00%"
"03/04/2022","63,478.0","63,043.0","63,913.0","62,174.0","1.11M","0.00%"
"03/03/2022","63,478.0","61,739.0","64,435.0","61,565.0","2.15M","2.38%"
"03/02/2022","62,000.0","61,043.0","63,304.0","60,261.0","1.20M","1.28%"
"03/01/2022","61,217.0","58,609.0","61,217.0","58,261.0","2.04M","3.99%"
"02/28/2022","58,870.0","57,826.0","59,130.0","57,739.0","1.02M","1.05%"
