"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","12,500.0","12,650.0","12,900.0","12,300.0","116.40K","-5.30%"
"07/28/2022","13,200.0","13,200.0","13,350.0","13,000.0","57.60K","0.00%"
"07/27/2022","13,200.0","12,350.0","13,300.0","12,300.0","41.60K","0.76%"
"07/26/2022","13,100.0","13,500.0","13,500.0","12,900.0","133.00K","3.56%"
"07/25/2022","12,650.0","12,350.0","12,650.0","12,200.0","118.20K","6.75%"
"07/22/2022","11,850.0","11,850.0","11,850.0","11,850.0","47.70K","6.76%"
"07/21/2022","11,100.0","10,450.0","11,100.0","10,450.0","55.40K","6.73%"
"07/20/2022","10,400.0","10,150.0","10,450.0","10,150.0","26.40K","2.97%"
"07/19/2022","10,100.0","10,250.0","10,250.0","10,000.0","20.60K","-1.46%"
"07/18/2022","10,250.0","10,150.0","10,250.0","10,000.0","37.40K","0.99%"
"07/15/2022","10,150.0","10,100.0","10,450.0","10,050.0","30.70K","0.00%"
"07/14/2022","10,150.0","10,100.0","10,150.0","10,000.0","28.10K","-0.49%"
"07/13/2022","10,200.0","10,300.0","10,700.0","10,000.0","21.00K","-0.97%"
"07/12/2022","10,300.0","10,150.0","10,300.0","9,810.0","54.30K","3.62%"
"07/11/2022","9,940.0","10,200.0","10,200.0","9,800.0","30.30K","-0.60%"
"07/08/2022","10,000.0","9,800.0","10,100.0","9,800.0","7.50K","2.46%"
"07/07/2022","9,760.0","9,700.0","9,980.0","9,600.0","11.90K","0.62%"
"07/06/2022","9,700.0","9,610.0","10,200.0","9,600.0","10.20K","-1.02%"
"07/05/2022","9,800.0","9,800.0","10,000.0","9,500.0","8.40K","0.00%"
"07/04/2022","9,800.0","9,750.0","9,920.0","9,720.0","7.00K","0.93%"
"07/01/2022","9,710.0","9,500.0","9,900.0","9,140.0","53.60K","-1.12%"
"06/30/2022","9,820.0","10,200.0","10,250.0","9,800.0","30.40K","-3.73%"
"06/29/2022","10,200.0","10,000.0","10,550.0","9,870.0","21.10K","0.49%"
"06/28/2022","10,150.0","10,400.0","10,400.0","9,870.0","30.60K","3.36%"
"06/27/2022","9,820.0","9,460.0","9,850.0","9,460.0","26.10K","4.14%"
"06/24/2022","9,430.0","9,020.0","9,700.0","9,020.0","78.30K","3.06%"
"06/23/2022","9,150.0","9,300.0","9,300.0","8,250.0","14.30K","3.98%"
"06/22/2022","8,800.0","8,890.0","8,890.0","8,540.0","20.60K","4.64%"
"06/21/2022","8,410.0","8,260.0","8,890.0","8,260.0","20.90K","-4.76%"
"06/20/2022","8,830.0","8,910.0","9,700.0","8,830.0","52.80K","-6.95%"
"06/17/2022","9,490.0","9,710.0","9,710.0","9,490.0","69.30K","-6.96%"
"06/16/2022","10,200.0","10,450.0","10,950.0","10,200.0","56.10K","-5.99%"
"06/15/2022","10,850.0","11,950.0","11,950.0","10,850.0","44.00K","-6.87%"
"06/14/2022","11,650.0","12,500.0","12,500.0","11,650.0","69.30K","-6.80%"
"06/13/2022","12,500.0","12,700.0","13,350.0","12,500.0","101.80K","-6.72%"
"06/10/2022","13,400.0","13,400.0","13,600.0","13,000.0","26.30K","-0.74%"
"06/09/2022","13,500.0","12,850.0","13,650.0","12,850.0","27.40K","0.37%"
"06/08/2022","13,450.0","13,100.0","13,450.0","12,600.0","73.40K","6.75%"
"06/07/2022","12,600.0","12,750.0","12,800.0","12,200.0","78.70K","-1.95%"
"06/06/2022","12,850.0","13,950.0","13,950.0","12,750.0","67.90K","-5.51%"
"06/03/2022","13,600.0","13,400.0","14,300.0","13,400.0","53.60K","1.12%"
"06/02/2022","13,450.0","14,150.0","14,500.0","13,450.0","121.90K","-6.92%"
"06/01/2022","14,450.0","14,500.0","14,700.0","14,300.0","63.60K","-0.34%"
"05/31/2022","14,500.0","15,100.0","15,100.0","14,400.0","32.60K","-3.97%"
"05/30/2022","15,100.0","14,550.0","15,100.0","14,300.0","127.40K","4.14%"
"05/27/2022","14,500.0","14,250.0","14,600.0","14,100.0","154.90K","1.75%"
"05/26/2022","14,250.0","14,100.0","14,350.0","14,050.0","35.90K","0.00%"
"05/25/2022","14,250.0","13,800.0","14,500.0","13,750.0","115.90K","4.01%"
"05/24/2022","13,700.0","14,000.0","14,000.0","13,700.0","49.30K","-1.79%"
"05/23/2022","13,950.0","14,650.0","15,000.0","13,950.0","145.80K","-3.79%"
"05/20/2022","14,500.0","14,000.0","14,500.0","13,950.0","128.10K","3.57%"
"05/19/2022","14,000.0","14,000.0","14,350.0","13,900.0","20.50K","-2.44%"
"05/18/2022","14,350.0","14,300.0","15,000.0","14,200.0","73.00K","1.06%"
"05/17/2022","14,200.0","13,500.0","14,200.0","13,200.0","62.90K","5.19%"
"05/16/2022","13,500.0","13,250.0","14,050.0","13,150.0","197.00K","2.66%"
"05/13/2022","13,150.0","13,400.0","14,100.0","13,150.0","120.10K","-6.74%"
"05/12/2022","14,100.0","14,100.0","14,800.0","13,300.0","139.70K","0.00%"
"05/11/2022","14,100.0","13,300.0","14,100.0","13,300.0","62.50K","6.02%"
"05/10/2022","13,300.0","12,450.0","13,500.0","12,450.0","133.00K","-0.37%"
"05/09/2022","13,350.0","14,300.0","14,750.0","13,350.0","316.70K","-6.97%"
"05/06/2022","14,350.0","14,400.0","14,800.0","14,000.0","77.80K","-1.03%"
"05/05/2022","14,500.0","14,050.0","14,600.0","14,000.0","147.40K","2.11%"
"05/04/2022","14,200.0","15,300.0","16,000.0","14,200.0","127.30K","-6.89%"
"04/29/2022","15,250.0","15,300.0","15,400.0","14,900.0","134.30K","-0.65%"
