"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","28,271.0","28,130.8","29,345.8","27,663.5","7.81M","1.00%"
"12/30/2021","27,990.6","28,691.6","28,971.9","27,757.0","8.94M","-2.44%"
"12/29/2021","28,691.6","28,411.2","29,626.2","28,317.7","7.46M","1.99%"
"12/28/2021","28,130.8","26,869.1","28,691.6","26,869.1","17.29M","4.88%"
"12/27/2021","26,822.4","26,729.0","27,009.3","25,700.9","8.16M","1.06%"
"12/24/2021","26,542.0","27,102.8","27,336.4","26,168.2","10.63M","1.25%"
"12/23/2021","26,214.9","24,672.9","26,214.9","24,345.8","24.36M","6.86%"
"12/22/2021","24,532.7","24,299.1","25,186.9","24,205.6","8.72M","1.16%"
"12/21/2021","24,252.3","23,551.4","24,626.2","23,551.4","6.20M","1.76%"
"12/20/2021","23,831.8","24,719.6","24,766.3","23,691.6","10.01M","-3.77%"
"12/17/2021","24,766.3","25,514.0","26,074.8","24,532.7","11.49M","-1.85%"
"12/16/2021","25,233.6","24,299.1","25,233.6","24,018.7","10.37M","3.65%"
"12/15/2021","24,345.8","25,233.6","25,654.2","24,158.9","11.22M","-4.23%"
"12/14/2021","25,420.5","25,327.1","26,635.5","25,046.7","9.53M","0.37%"
"12/13/2021","25,327.1","24,065.4","25,327.1","23,878.5","14.40M","6.90%"
"12/10/2021","23,691.6","23,925.2","24,579.4","23,644.8","7.98M","-1.36%"
"12/09/2021","24,018.7","22,897.2","24,205.6","22,897.2","7.09M","2.39%"
"12/08/2021","23,457.9","23,177.6","23,831.8","23,130.8","5.12M","1.62%"
"12/07/2021","23,084.1","22,102.8","23,084.1","21,588.8","6.69M","6.93%"
"12/06/2021","21,588.8","22,429.9","23,177.6","21,308.4","9.11M","-3.75%"
"12/03/2021","22,429.9","23,972.0","24,299.1","22,429.9","13.21M","-6.25%"
"12/02/2021","23,925.2","24,906.5","25,467.3","23,925.2","10.27M","-4.83%"
"12/01/2021","25,140.2","25,186.9","25,420.5","24,532.7","7.06M","-0.19%"
"11/30/2021","25,186.9","24,392.5","25,654.2","24,392.5","12.32M","3.65%"
"11/29/2021","24,299.1","22,616.8","24,672.9","22,616.8","13.80M","3.38%"
"11/26/2021","23,504.7","23,831.8","24,486.0","23,084.1","10.00M","-1.76%"
"11/25/2021","23,925.2","23,972.0","24,906.5","23,504.7","11.41M","-0.20%"
