"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","27,300.00","26,800.00","28,000.00","26,800.00","6.45M","2.63%"
"12/30/2021","26,600.00","26,750.00","26,750.00","26,250.00","1.71M","0.38%"
"12/29/2021","26,500.00","26,500.00","27,000.00","26,300.00","2.74M","0.76%"
"12/28/2021","26,300.00","26,000.00","26,400.00","25,500.00","3.20M","1.74%"
"12/27/2021","25,850.00","26,100.00","26,200.00","25,600.00","1.34M","-0.19%"
"12/24/2021","25,900.00","24,700.00","26,000.00","24,700.00","3.16M","4.86%"
"12/23/2021","24,700.00","25,650.00","25,700.00","24,500.00","6.44M","-3.70%"
"12/22/2021","25,650.00","26,250.00","26,600.00","25,650.00","4.84M","-2.29%"
"12/21/2021","26,250.00","26,600.00","26,650.00","26,150.00","3.65M","-1.32%"
"12/20/2021","26,600.00","26,800.00","26,900.00","26,300.00","3.39M","-0.75%"
"12/17/2021","26,800.00","26,950.00","27,000.00","26,700.00","2.55M","-0.74%"
"12/16/2021","27,000.00","27,100.00","27,200.00","26,550.00","2.16M","0.19%"
"12/15/2021","26,950.00","26,700.00","27,350.00","26,650.00","2.79M","1.32%"
"12/14/2021","26,600.00","26,900.00","27,250.00","26,500.00","3.71M","-1.30%"
"12/13/2021","26,950.00","27,100.00","27,200.00","26,850.00","3.76M","-0.37%"
"12/10/2021","27,050.00","27,300.00","27,750.00","27,000.00","2.64M","-1.10%"
"12/09/2021","27,350.00","26,900.00","27,350.00","26,700.00","1.87M","0.55%"
"12/08/2021","27,200.00","26,900.00","27,750.00","26,450.00","4.97M","1.49%"
"12/07/2021","26,800.00","26,500.00","27,000.00","25,900.00","3.41M","3.08%"
"12/06/2021","26,000.00","27,100.00","27,550.00","25,600.00","8.21M","-5.45%"
"12/03/2021","27,500.00","28,500.00","28,600.00","27,500.00","4.68M","-3.51%"
"12/02/2021","28,500.00","28,450.00","29,200.00","28,400.00","3.35M","0.18%"
"12/01/2021","28,450.00","27,800.00","28,500.00","27,000.00","6.57M","1.97%"
"11/30/2021","27,900.00","30,000.00","30,000.00","27,500.00","13.93M","-5.42%"
"11/29/2021","29,500.00","29,800.00","30,050.00","28,800.00","6.67M","-2.96%"
"11/26/2021","30,400.00","30,300.00","31,300.00","29,850.00","8.22M","-0.33%"
"11/25/2021","30,500.00","30,600.00","31,700.00","30,150.00","9.74M","1.84%"
"11/24/2021","29,950.00","28,000.00","29,950.00","28,000.00","17.82M","6.96%"
"11/23/2021","28,000.00","27,800.00","28,350.00","27,250.00","8.49M","2.38%"
"11/22/2021","27,350.00","26,700.00","28,150.00","26,700.00","9.32M","2.82%"
"11/19/2021","26,600.00","26,350.00","27,300.00","26,000.00","7.83M","1.14%"
"11/18/2021","26,300.00","26,350.00","26,800.00","26,150.00","4.97M","-0.57%"
"11/17/2021","26,450.00","26,650.00","26,700.00","26,300.00","3.32M","-0.75%"
"11/16/2021","26,650.00","26,650.00","27,200.00","26,350.00","3.42M","0.19%"
"11/15/2021","26,600.00","27,300.00","27,300.00","26,500.00","5.52M","-1.12%"
"11/12/2021","26,900.00","26,350.00","27,050.00","26,300.00","4.81M","2.09%"
"11/11/2021","26,350.00","27,000.00","27,300.00","26,050.00","11.19M","-3.48%"
"11/10/2021","27,300.00","28,000.00","28,100.00","27,300.00","8.87M","-2.50%"
"11/09/2021","28,000.00","28,600.00","28,650.00","27,950.00","6.20M","-1.75%"
"11/08/2021","28,500.00","28,150.00","28,750.00","27,700.00","7.54M","0.00%"
"11/05/2021","28,500.00","28,500.00","29,450.00","28,300.00","6.45M","0.00%"
"11/04/2021","28,500.00","28,800.00","28,950.00","28,400.00","5.05M","-1.04%"
"11/03/2021","28,800.00","27,100.00","28,800.00","27,100.00","18.37M","6.86%"
"11/02/2021","26,950.00","27,000.00","27,000.00","26,550.00","4.24M","0.37%"
"11/01/2021","26,850.00","26,650.00","27,000.00","26,000.00","4.27M","0.94%"
"10/29/2021","26,600.00","27,000.00","27,100.00","26,500.00","4.24M","-1.12%"
"10/28/2021","26,900.00","27,400.00","27,600.00","26,900.00","5.17M","-0.74%"
"10/27/2021","27,100.00","26,850.00","27,400.00","26,000.00","5.26M","0.93%"
"10/26/2021","26,850.00","26,650.00","26,900.00","25,800.00","5.89M","-0.56%"
"10/25/2021","27,000.00","26,800.00","27,400.00","26,800.00","5.75M","-0.18%"
"10/22/2021","27,050.00","27,000.00","27,300.00","26,850.00","3.85M","-1.10%"
"10/21/2021","27,350.00","27,000.00","27,700.00","26,900.00","7.91M","2.82%"
"10/20/2021","26,600.00","25,450.00","26,600.00","25,200.00","8.30M","4.31%"
"10/19/2021","25,500.00","25,500.00","25,900.00","25,300.00","3.97M","-0.97%"
"10/18/2021","25,750.00","26,000.00","26,200.00","25,650.00","3.17M","0.19%"
"10/15/2021","25,700.00","24,800.00","25,950.00","24,550.00","9.34M","4.68%"
"10/14/2021","24,550.00","24,600.00","24,700.00","24,000.00","2.76M","-0.20%"
"10/13/2021","24,600.00","25,000.00","25,000.00","24,600.00","2.38M","-0.81%"
"10/12/2021","24,800.00","24,950.00","25,200.00","24,750.00","4.29M","0.40%"
"10/11/2021","24,700.00","24,150.00","24,750.00","24,150.00","4.55M","2.28%"
"10/08/2021","24,150.00","23,550.00","24,200.00","23,550.00","2.86M","2.33%"
"10/07/2021","23,600.00","23,550.00","23,700.00","23,350.00","1.81M","0.43%"
"10/06/2021","23,500.00","23,700.00","23,700.00","23,350.00","1.57M","0.00%"
"10/05/2021","23,500.00","22,900.00","23,750.00","22,850.00","1.82M","1.73%"
"10/04/2021","23,100.00","22,800.00","23,450.00","22,550.00","2.72M","-0.22%"
"10/01/2021","23,150.00","24,000.00","24,100.00","23,000.00","2.18M","-3.14%"
"09/30/2021","23,900.00","24,000.00","24,500.00","23,600.00","2.31M","0.42%"
"09/29/2021","23,800.00","23,900.00","24,000.00","23,450.00","1.77M","-0.42%"
"09/28/2021","23,900.00","23,500.00","23,900.00","23,050.00","1.69M","0.63%"
"09/27/2021","23,750.00","24,650.00","24,800.00","23,750.00","2.14M","-3.65%"
"09/24/2021","24,650.00","24,400.00","24,900.00","24,400.00","5.18M","1.44%"
"09/23/2021","24,300.00","23,950.00","24,800.00","23,500.00","3.26M","1.04%"
"09/22/2021","24,050.00","24,250.00","24,450.00","23,950.00","1.98M","-1.23%"
"09/21/2021","24,350.00","23,500.00","24,450.00","23,250.00","5.21M","2.53%"
"09/20/2021","23,750.00","23,000.00","24,000.00","23,000.00","5.16M","3.94%"
"09/17/2021","22,850.00","22,500.00","22,900.00","22,500.00","1.40M","2.01%"
"09/16/2021","22,400.00","22,400.00","22,800.00","22,300.00","661.10K","0.67%"
"09/15/2021","22,250.00","22,200.00","22,450.00","22,200.00","1.06M","-0.45%"
"09/14/2021","22,350.00","22,450.00","22,600.00","22,350.00","1.47M","-0.89%"
"09/13/2021","22,550.00","22,750.00","22,800.00","22,550.00","1.22M","-1.10%"
"09/10/2021","22,800.00","23,000.00","23,300.00","22,800.00","1.14M","-0.65%"
"09/09/2021","22,950.00","22,950.00","23,000.00","22,650.00","1.34M","0.00%"
"09/08/2021","22,950.00","23,500.00","23,500.00","22,950.00","1.09M","-1.50%"
"09/07/2021","23,300.00","22,800.00","23,400.00","22,750.00","2.93M","3.10%"
"09/06/2021","22,600.00","23,000.00","23,000.00","22,450.00","2.01M","0.00%"
"09/01/2021","22,600.00","22,600.00","22,700.00","22,500.00","1.05M","-0.22%"
"08/31/2021","22,650.00","23,200.00","23,200.00","22,500.00","1.16M","-1.09%"
"08/30/2021","22,900.00","22,600.00","23,200.00","22,250.00","2.53M","1.78%"
"08/27/2021","22,500.00","22,500.00","22,500.00","22,200.00","1.49M","-0.88%"
"08/26/2021","22,700.00","23,100.00","23,200.00","22,700.00","1.10M","-1.73%"
"08/25/2021","23,100.00","23,000.00","23,100.00","22,750.00","858.00K","0.87%"
"08/24/2021","22,900.00","22,600.00","22,900.00","22,250.00","1.87M","1.33%"
"08/23/2021","22,600.00","23,250.00","23,500.00","22,600.00","4.40M","-5.04%"
"08/20/2021","23,800.00","24,700.00","24,750.00","23,150.00","4.97M","-4.03%"
"08/19/2021","24,800.00","24,900.00","24,950.00","24,700.00","2.21M","-0.80%"
"08/18/2021","25,000.00","24,950.00","25,100.00","24,850.00","2.03M","0.00%"
"08/17/2021","25,000.00","25,500.00","25,500.00","24,900.00","3.52M","-0.40%"
"08/16/2021","25,100.00","24,700.00","25,200.00","24,400.00","3.78M","2.03%"
"08/13/2021","24,600.00","24,700.00","24,750.00","24,100.00","2.64M","-0.40%"
"08/12/2021","24,700.00","25,000.00","25,250.00","24,700.00","2.60M","-1.98%"
"08/11/2021","25,200.00","25,400.00","25,450.00","25,150.00","4.10M","0.00%"
"08/10/2021","25,200.00","25,000.00","25,300.00","24,850.00","6.02M","2.02%"
"08/09/2021","24,700.00","24,500.00","24,750.00","24,100.00","3.79M","0.82%"
"08/06/2021","24,500.00","24,800.00","24,800.00","24,500.00","2.20M","-0.81%"
"08/05/2021","24,700.00","24,700.00","24,750.00","24,450.00","2.55M","0.20%"
"08/04/2021","24,650.00","24,700.00","24,900.00","24,500.00","2.94M","0.00%"
"08/03/2021","24,650.00","24,500.00","25,000.00","24,350.00","2.73M","1.44%"
"08/02/2021","24,300.00","24,000.00","24,800.00","24,000.00","4.01M","1.25%"
"07/30/2021","24,000.00","24,160.00","24,400.00","23,920.00","7.00M","-1.32%"
"07/29/2021","24,320.00","25,080.00","25,240.00","24,160.00","10.53M","3.05%"
"07/28/2021","23,600.00","23,120.00","23,600.00","22,960.00","4.80M","3.15%"
"07/27/2021","22,880.00","22,920.00","23,000.00","22,760.00","3.01M","0.88%"
"07/26/2021","22,680.00","22,600.00","22,720.00","22,160.00","3.07M","0.18%"
"07/23/2021","22,640.00","22,680.00","22,880.00","22,400.00","3.90M","-0.88%"
"07/22/2021","22,840.00","22,760.00","22,840.00","22,400.00","5.36M","2.70%"
"07/21/2021","22,240.00","22,400.00","22,400.00","21,920.00","4.23M","1.09%"
"07/20/2021","22,000.00","21,080.00","22,000.00","21,040.00","3.09M","3.97%"
"07/19/2021","21,160.00","21,320.00","21,520.00","20,800.00","5.21M","-3.64%"
"07/16/2021","21,960.00","22,240.00","22,480.00","21,920.00","2.74M","0.18%"
"07/15/2021","21,920.00","20,880.00","21,920.00","20,800.00","2.59M","4.58%"
"07/14/2021","20,960.00","22,000.00","22,000.00","20,680.00","6.17M","-4.73%"
"07/13/2021","22,000.00","22,320.00","22,400.00","21,560.00","3.26M","0.36%"
"07/12/2021","21,920.00","23,280.00","23,400.00","21,920.00","7.90M","-6.96%"
"07/09/2021","23,560.00","23,840.00","24,240.00","23,360.00","4.70M","-2.48%"
"07/08/2021","24,160.00","24,480.00","24,680.00","24,000.00","3.13M","-1.31%"
"07/07/2021","24,480.00","24,160.00","24,520.00","23,200.00","5.79M","3.55%"
"07/06/2021","23,640.00","25,760.00","26,240.00","23,640.00","9.37M","-6.93%"
"07/05/2021","25,400.00","24,960.00","25,440.00","24,840.00","8.66M","1.44%"
"07/02/2021","25,040.00","24,960.00","25,200.00","24,720.00","6.87M","1.29%"
"07/01/2021","24,720.00","24,640.00","24,800.00","24,160.00","4.80M","0.65%"
